# integrated_xsct_v_R_simple.sh
# LO_y_0.0
1.0 196.226 177.393 210.09


# NNLO+LLR_R015_multB_y_0.0
R central min max
0.03 28.5676 23.9702 33.4728
0.05 40.5814 34.8854 46.5136
0.1 61.1753 53.1504 68.8441
0.2 87.0827 76.5144 96.9352
0.4 121.16 107.218 133.917
0.6 146.555 130.066 161.514
1.0 190.609 169.68 209.476


# NNLO+LLR_mexpB_y_0.0
R central min max
0.03 37.0561 33.936 38.8972
0.05 49.0752 46.6402 50.1339
0.1 69.4888 67.5637 70.1486
0.2 95.1566 90.8798 96.0295
0.4 128.619 120.598 132.242
0.6 153.499 142.468 159.531
1.0 196.676 180.053 207.266


# LO_y_0.5
R central min max
0.03 143.009 112.854 184.432
0.05 143.009 112.854 184.432
0.1 143.009 112.854 184.432
0.2 143.009 112.854 184.432
0.4 143.009 112.854 184.432
0.6 143.009 112.854 184.432
1.0 143.009 112.854 184.432


# NLO_y_0.5
R central min max
0.03 30.5747 -25.9823 58.1604
0.05 51.4447 3.97569 73.0985
0.1 79.7142 44.5486 93.3358
0.2 108.188 85.4182 113.739
0.4 137.525 127.524 138.885
0.6 155.837 147.819 156.71
1.0 181.85 166.419 191.6


# NLO_mult_y_0.5
R central min max
0.03 -10.4856 -29.0491 11.9935
0.05 16.0485 -3.51011 31.9312
0.1 51.9912 36.0687 64.7286
0.2 88.1943 74.8432 98.3383
0.4 125.494 112.927 134.128
0.6 148.776 135.555 157.363
1.0 181.85 166.419 191.6


# NLO_mult_narrowband_y_0.5
R central min max
0.03 -10.4856 -34.8716 7.3155
0.05 16.0485 -3.63064 29.5221
0.1 51.9912 38.6878 59.6026
0.2 88.1943 81.3043 90.0176
0.4 125.494 119.68 126.79
0.6 148.776 138.996 152.648
1.0 181.85 166.419 191.6


# NLO+LLR_y_0.5
R central min max
0.03 51.9442 42.8146 59.6878
0.05 63.9994 54.4822 71.6963
0.1 83.1075 73.2174 90.467
0.2 105.844 95.5938 112.641
0.4 133.146 122.043 139.633
0.6 152.197 139.9 159.231
1.0 181.85 166.419 191.6


# NLO+LLR_narrowband_y_0.5
R central min max
0.03 51.9442 45.2222 55.5355
0.05 63.9994 57.7357 66.6231
0.1 83.1075 78.0423 84.046
0.2 105.844 102.367 106.778
0.4 133.146 126.216 134.277
0.6 152.197 142.196 156.057
1.0 181.85 166.419 191.6


# NLO+LLR_mB_y_0.5
R central min max
0.03 51.2289 41.6946 59.4662
0.05 63.1292 53.0506 71.4993
0.1 81.9913 71.2765 90.3609
0.2 104.476 93.1253 112.723
0.4 131.679 119.385 139.937
0.6 150.968 137.721 159.525
1.0 181.85 166.419 191.6


# NLO+LLR_mB_narrowband_y_0.5
R central min max
0.03 51.2289 45.0452 54.5815
0.05 63.1292 57.5301 65.4969
0.1 81.9913 77.7917 82.9006
0.2 104.476 101.037 105.574
0.4 131.679 124.343 133.369
0.6 150.968 140.644 155.538
1.0 181.85 166.419 191.6


# NLO+LLR_R015_y_0.5
R central min max
0.03 47.6583 37.714 56.4814
0.05 59.4855 48.8609 68.616
0.1 78.3488 66.883 87.7733
0.2 100.932 88.5936 110.644
0.4 128.143 114.505 138.589
0.6 147.094 132.121 158.655
1.0 176.352 158.297 191.201


# NLO+LLR_R015_mB_y_0.5
R central min max
0.03 45.8102 35.3997 55.4891
0.05 57.194 45.8606 67.5372
0.1 75.35 62.7736 86.6138
0.2 97.1469 83.2574 109.464
0.4 123.712 108.221 137.442
0.6 142.674 125.915 157.579
1.0 173.258 154.084 190.417


# pseudo_NNLO_y_0.5
R central min max
0.03 -5.97665 -6.54557 0.125967
0.05 14.14 13.6616 19.2943
0.1 44.8876 43.5144 47.8
0.2 78.3681 76.7177 78.7811
0.4 116.267 110.609 118.003
0.6 142.144 132.765 146.573
1.0 181.85 166.419 191.6


# NNLO_mult_y_0.5
R central min max
0.03 -4.75293 -4.25946 -7.19938
0.05 13.6241 12.3739 16.3006
0.1 42.9621 39.0471 46.9961
0.2 75.7026 68.8469 81.0609
0.4 113.765 103.789 120.507
0.6 140.346 128.305 148.121
1.0 181.85 166.419 191.6


# NNLO_mult_narrowband_y_0.5
R central min max
0.03 -4.75293 -5.14465 -1.8657
0.05 13.6241 13.1487 15.7544
0.1 42.9621 41.762 44.2289
0.2 75.7026 72.0609 77.5047
0.4 113.765 106.309 117.398
0.6 140.346 129.811 146.065
1.0 181.85 166.419 191.6


# NNLO+LLR_multA_y_0.5
R central min max
0.03 35.5446 29.6981 40.7377
0.05 46.7456 40.2746 52.2801
0.1 65.963 58.6146 71.8765
0.2 90.009 81.7211 96.1272
0.4 120.744 110.847 127.218
0.6 143.716 132.026 151.03
1.0 181.85 166.419 191.6


# NNLO+LLR_multA_narrowband_y_0.5
R central min max
0.03 35.5446 29.8529 38.995
0.05 46.7456 41.1746 49.5368
0.1 65.963 61.3979 67.1842
0.2 90.009 87.0875 90.356
0.4 120.744 114.653 122.177
0.6 143.716 134.19 148.054
1.0 181.85 166.419 191.6


# NNLO+LLR_multB_y_0.5
R central min max
0.03 31.2857 26.8267 35.3756
0.05 42.2981 37.1008 46.8489
0.1 61.613 55.125 66.7951
0.2 86.0831 77.9647 91.9985
0.4 117.777 107.393 124.711
0.6 141.748 129.576 149.593
1.0 181.85 166.419 191.6


# NNLO+LLR_multB_narrowband_y_0.5
R central min max
0.03 31.2857 29.2071 32.423
0.05 42.2981 40.4906 42.9495
0.1 61.613 59.7675 62.1507
0.2 86.0831 81.8684 87.0534
0.4 117.777 110.059 121.234
0.6 141.748 131.13 147.426
1.0 181.85 166.419 191.6


# NNLO+LLR_combined_y_0.5
R central min max
0.03 35.5446 29.6981 40.7377
0.05 46.7456 40.2746 52.2801
0.1 65.963 58.6146 71.8765
0.2 90.009 81.7211 96.1272
0.4 120.744 110.847 127.218
0.6 143.716 132.026 151.03
1.0 181.85 166.419 191.6


# NNLO+LLR_R015_y_0.5
R central min max
0.03 36.4357 28.0976 43.0872
0.05 47.7435 38.6055 55.0205
0.1 66.9825 57.1362 75.0591
0.2 90.9682 80.3673 99.6894
0.4 121.454 109.144 130.896
0.6 144.087 130.089 154.45
1.0 181.444 163.98 194.192


# NNLO+LLR_R015_multB_y_0.5
R central min max
0.03 28.0996 23.404 32.7813
0.05 38.6148 32.8746 44.2431
0.1 57.2717 49.6929 64.4782
0.2 81.0888 71.1977 90.2875
0.4 112.215 99.23 124.029
0.6 136.007 120.68 149.855
1.0 176.292 156.876 193.711


# NNLO+LLR_mexpB_y_0.5
R central min max
0.03 35.5586 32.4835 37.1962
0.05 46.3136 43.7152 47.2784
0.1 64.9169 62.9177 65.5309
0.2 88.5127 84.4125 89.3484
0.4 119.112 111.423 122.391
0.6 142.345 131.741 147.952
1.0 181.85 166.419 191.6


# LO_y_1.0
R central min max
0.03 121.948 96.0003 157.74
0.05 121.948 96.0003 157.74
0.1 121.948 96.0003 157.74
0.2 121.948 96.0003 157.74
0.4 121.948 96.0003 157.74
0.6 121.948 96.0003 157.74
1.0 121.948 96.0003 157.74


# NLO_y_1.0
R central min max
0.03 28.3857 -19.6005 51.4116
0.05 45.8711 5.59588 63.8879
0.1 69.484 39.6275 80.7337
0.2 93.2355 73.8617 97.7039
0.4 117.727 109.161 118.887
0.6 133.041 126.069 133.771
1.0 154.93 141.669 163.195


# NLO_mult_y_1.0
R central min max
0.03 -5.82002 -21.6458 12.6341
0.05 16.3914 0.0328965 29.6693
0.1 46.387 32.9994 57.0644
0.2 76.5587 65.222 85.1061
0.4 107.67 96.8895 114.989
0.6 127.124 115.753 134.413
1.0 154.93 141.669 163.195


# NLO_mult_narrowband_y_1.0
R central min max
0.03 -5.82002 -26.0278 8.82664
0.05 16.3914 0.114583 27.4193
0.1 46.387 35.4166 52.5279
0.2 76.5587 70.9063 77.9286
0.4 107.67 102.54 108.784
0.6 127.124 118.652 130.458
1.0 154.93 141.669 163.195


# NLO+LLR_y_1.0
R central min max
0.03 45.6964 37.8218 52.3109
0.05 55.9618 47.7818 62.5099
0.1 72.1093 63.6251 78.3461
0.2 91.207 82.4067 96.9556
0.4 114.07 104.52 119.556
0.6 130.013 119.438 135.96
1.0 154.93 141.669 163.195


# NLO+LLR_narrowband_y_1.0
R central min max
0.03 45.6964 39.9065 48.6576
0.05 55.9618 50.601 58.0677
0.1 72.1093 67.796 72.8165
0.2 91.207 88.189 91.9885
0.4 114.07 108.017 115.05
0.6 130.013 121.365 133.313
1.0 154.93 141.669 163.195


# NLO+LLR_mB_y_1.0
R central min max
0.03 45.0789 36.8436 52.1292
0.05 55.2186 46.546 62.3544
0.1 71.1596 61.9605 78.2715
0.2 90.0402 80.2903 97.0406
0.4 112.814 102.238 119.826
0.6 128.954 117.557 136.219
1.0 154.93 141.669 163.195


# NLO+LLR_mB_narrowband_y_1.0
R central min max
0.03 45.0789 39.8094 47.8369
0.05 55.2186 50.4879 57.1111
0.1 71.1596 67.6265 71.9168
0.2 90.0402 86.9348 90.9737
0.4 112.814 106.407 114.32
0.6 128.954 120.025 132.87
1.0 154.93 141.669 163.195


# NLO+LLR_R015_y_1.0
R central min max
0.03 42.0789 33.4626 49.65
0.05 52.182 43.0233 59.981
0.1 68.1569 58.3124 76.1692
0.2 87.1482 76.5688 95.3768
0.4 109.943 98.2494 118.77
0.6 125.8 112.965 135.561
1.0 150.369 134.89 162.951


